county,state,None,D0,D1,D2,D3,D4,blueVoter,redVoter,target
Carroll County,AR,57.3,42.7,25.9,3.4,0,0,3691,6121,1
Carroll County,GA,66.3,33.7,23.5,18.5,9.2,5.2,12635,28249,1
Carroll County,IA,92.6,7.4,2.5,0,0,0,4912,5577,1
Carroll County,IL,87.8,12.2,0,0,0,0,3658,3551,0
Carroll County,IN,92.9,7.1,0,0,0,0,2631,4993,1
Carroll County,KY,93.2,6.8,3.4,1.9,0,0,1629,1999,1
Carroll County,MD,67.3,32.7,16.6,0,0,0,26067,53960,1
Carroll County,MO,54.3,45.7,24.9,9,3.4,0.4,1154,3072,1
Carroll County,MS,70.2,29.8,18.4,6.6,3.1,0,1990,3953,1
Carroll County,NH,67.7,32.3,17.8,5,0,0,13977,14207,1
Carroll County,OH,91,9,3.7,0,0,0,5396,7177,1
Carroll County,TN,86.9,13.1,5.1,3.2,0,0,3475,7219,1
Carroll County,VA,76.4,23.6,7.7,0,0,0,3500,8351,1
Carson County,TX,49.4,50.6,31.6,23.3,14.8,4.8,292,2450,1
Carter County,KY,91.7,8.3,5.4,1.9,0,0,3383,5279,1
Carter County,MO,59.8,40.2,26.8,9.5,0,0,754,1978,1
Carter County,MT,55.3,44.7,31,11.1,1.4,0,96,678,1
Carter County,OK,62.9,37.1,19.3,7.9,0.3,0,4907,12213,1
Carter County,TN,74.6,25.4,9.5,1.6,0,0,4786,15496,1
Carteret County,NC,87.9,12.1,4.7,0,0,0,10197,24598,1
Carver County,MN,99,1,0,0,0,0,20745,31155,1
Cascade County,MT,78.4,21.6,8.4,4.5,1.2,0,14949,18039,1
Casey County,KY,89.1,10.9,5.5,3.7,1.1,0,1086,4904,1
Cass County,IA,85.8,14.2,0.3,0,0,0,2856,4212,1
Cass County,IL,60.6,39.4,12.1,0,0,0,2050,2707,1
Cass County,IN,92.5,7.5,0,0,0,0,5365,8432,1
Cass County,MI,93.8,6.2,0,0,0,0,9587,12660,1
Cass County,MN,90,10,0.5,0,0,0,6858,8957,1
Cass County,MO,60.1,39.9,14.1,1.3,0,0,17044,30912,1
Cass County,ND,78,22,2.4,0,0,0,34632,36792,1
Cass County,NE,87.2,12.8,1.4,0,0,0,4298,7453,1
Cass County,TX,54.8,45.2,28.1,12.6,1.1,0,2921,8747,1
Cassia County,ID,59.2,40.8,12.7,3.2,0,0,1093,7150,1
Castro County,TX,61.1,38.9,27.5,19.8,5.7,0,630,1470,1
Caswell County,NC,63.8,36.2,14.5,0,0,0,5183,5471,1
Catahoula Parish,LA,59.6,40.4,19.1,5.8,1.1,0,1408,2744,1
Catawba County,NC,73.1,26.9,13.4,1.5,0,0,23954,44386,1
Catoosa County,GA,70.4,29.6,25.7,21.9,14.4,6.4,5357,17848,1
Catron County,NM,26.6,73.4,56.4,37.5,10.4,0,557,1474,1
Cattaraugus County,NY,92.3,7.7,5.4,1.3,0,0,11695,15406,1
Cavalier County,ND,37.4,62.6,26.4,0.4,0,0,818,1192,1
Cayuga County,NY,79.6,20.4,12.9,8.2,2.1,0,14162,11355,0
Cecil County,MD,77.6,22.4,8.8,0,0,0,15489,23660,1
Cedar County,IA,75.1,24.9,6.9,0,0,0,4931,4510,0
Cedar County,MO,61.2,38.8,9.8,1.8,0.3,0,1536,4375,1
Cedar County,NE,84.3,15.7,5.5,2.5,0,0,952,3231,1
Centre County,PA,81.9,18.1,9.3,1,0,0,33677,33697,1
Cerro Gordo County,IA,95.3,4.7,0,0,0,0,13204,10084,0
Chaffee County,CO,46.1,53.9,34.2,24.7,15,0,4967,4949,0
Chambers County,AL,59.3,40.7,23.8,13.9,8.4,5.8,6853,7596,1
Chambers County,TX,87.4,12.6,3,0,0,0,2780,11761,1
Champaign County,IL,87.6,12.4,2.1,0,0,0,40378,35086,0
Champaign County,OH,95.1,4.9,0.6,0,0,0,7826,11852,1
Chariton County,MO,50.6,49.4,23,9.4,3.9,0,1339,2402,1
Charles City County,VA,81.5,18.5,2.1,0,0,0,2772,1396,0
Charles County,MD,69.2,30.8,9.2,0,0,0,45621,23637,0
Charles Mix County,SD,79.4,20.6,8,2.1,0,0,1482,2229,1
Charleston County,SC,61.5,38.5,16,2.5,0,0,81027,77248,0
Charlevoix County,MI,91,9,2.8,0.7,0,0,5936,7997,1
Charlotte County,FL,0,0,0,0,0,0,35896,47988,1
Charlotte County,VA,65.3,34.7,18.1,0,0,0,2502,3311,1
Charlton County,GA,0,0,0,0,0,0,1197,2527,1
Chase County,KS,64.1,35.9,21.5,13.7,3.2,0,343,857,1
Chase County,NE,64.4,35.6,17.1,0,0,0,252,1573,1
Chatham County,GA,52.1,47.9,24.9,4,0,0,60077,47083,0
Chatham County,NC,67.3,32.7,11.6,0,0,0,18252,16578,0
Chattahoochee County,GA,55.2,44.8,21.8,9.1,4.5,0.4,726,732,1
Chattooga County,GA,64.8,35.2,25.1,21.5,15.4,7.6,2220,5434,1
Chautauqua County,KS,59.5,40.5,22.4,7.8,0,0,259,1201,1
Chautauqua County,NY,94.7,5.3,3,0.7,0,0,21815,25795,1
Chaves County,NM,46.5,53.5,33.3,23.9,6.2,0,6621,13271,1
Cheatham County,TN,80.6,19.4,5.1,3.2,1.2,0,4656,10266,1
Cheboygan County,MI,88.4,11.6,5.1,1.3,0,0,5829,7284,1
Chelan County,WA,51,49,18.2,0,0,0,12519,17741,1
Chemung County,NY,81.2,18.8,16.5,7.7,1.3,0,15285,16207,1
Chenango County,NY,84.2,15.8,3.5,0,0,0,8340,8933,1
Cherokee County,AL,61.6,38.4,27.4,19.8,10.2,6.6,2126,7494,1
Cherokee County,GA,64.2,35.8,25.8,21.9,12.6,3.8,19813,76473,1
Cherokee County,IA,86.8,13.2,5.4,1.4,0,0,2623,3656,1
Cherokee County,KS,66.4,33.6,13.3,3.8,1.7,0,2868,5345,1
Cherokee County,NC,70.2,29.8,25,22.1,10.7,2.4,3339,9201,1
Cherokee County,OK,51.6,48.4,31.5,14.4,0,0,6137,8151,1
Cherokee County,SC,68.2,31.8,15.9,9.4,2.3,0,7219,13306,1
Cherokee County,TX,66.6,33.4,14,2.3,0,0,3935,12291,1
Cherry County,NE,78.8,21.2,3.8,0.5,0,0,436,2557,1
Cheshire County,NH,68.4,31.6,20.8,2.8,0,0,25329,15135,0
Chester County,PA,76.4,23.6,10.3,0,0,0,122232,123280,1
Chester County,SC,58.5,41.5,18.2,3.3,0.3,0,7839,6336,0
Chester County,TN,83,17,6.6,3.1,0,0,1622,4672,1
Chesterfield County,SC,70.1,29.9,6.5,0,0,0,7942,8488,1
Chesterfield County,VA,73.2,26.8,5,0,0,0,78954,91174,1
Cheyenne County,CO,54.2,45.8,32.1,5.3,0,0,162,858,1
Cheyenne County,KS,74.2,25.8,14.7,0,0,0,231,1157,1
Cheyenne County,NE,53,47,21.7,0,0,0,983,3134,1
Chickasaw County,IA,94.2,5.8,0,0,0,0,3552,2836,0
Chickasaw County,MS,54.7,45.3,24.9,10,4.5,1.2,3914,3601,0
Chicot County,AR,74.9,25.1,15.7,5.3,0.4,0,2649,1670,0
Childress County,TX,51.7,48.3,31.7,20.7,11.3,0,320,1665,1
Chilton County,AL,63,37,20,8.4,5,1.2,3391,13910,1
Chippewa County,MI,92.2,7.8,0,0,0,0,7100,8278,1
Chippewa County,MN,94.6,5.4,0,0,0,0,3083,2967,0
Chippewa County,WI,95.2,4.8,0,0,0,0,15211,15371,1
Chisago County,MN,96.7,3.3,0,0,0,0,12524,16227,1
Chittenden County,VT,68.4,31.6,21.8,4.4,0,0,53615,21567,0
Choctaw County,AL,64.8,35.2,15.7,6.3,3.3,0,3785,4150,1
Choctaw County,MS,64,36,21.1,5.9,3.2,0,1283,2533,1
Choctaw County,OK,48.7,51.3,37.7,20.4,6.4,0,1494,3572,1
Chouteau County,MT,75.1,24.9,14,6.3,2.7,0.2,969,1751,1
Chowan County,NC,84.3,15.7,0,0,0,0,3507,3872,1
Christian County,IL,72.1,27.9,2.1,0,0,0,5487,8873,1
Christian County,KY,88.5,11.5,5.1,3.2,0,0,8252,13475,1
Christian County,MO,55.2,44.8,21.9,5.6,0,0,9809,27465,1
Cibola County,NM,27.7,72.3,55.2,38.1,15.7,0,4907,2966,0
Cimarron County,OK,53.3,46.7,35.8,23.6,13,5.5,115,1082,1
Citrus County,FL,82.6,17.4,4.5,0,0,0,28453,44657,1
Clackamas County,OR,51.3,48.7,27.9,17.6,0.5,0,94013,87551,0
Claiborne County,MS,56.6,43.4,20.5,5.7,1.5,0,4633,608,0
Claiborne County,TN,80.9,19.1,8.7,4,1.9,0,2433,7617,1
Claiborne Parish,LA,55.4,44.6,27.8,12.1,1.5,0,3014,3649,1
Clallam County,WA,62.2,37.8,17.3,4.1,0,0,17231,17087,0
Clare County,MI,95,5,0,0,0,0,6337,6988,1
Clarendon County,SC,70,30,3.9,0,0,0,8967,6890,0
Clarion County,PA,91.9,8.1,0.6,0,0,0,4731,10228,1
Clark County,AR,72.5,27.5,17.7,6.1,2.5,0,3808,4343,1
Clark County,ID,74.8,25.2,2.3,0,0,0,66,235,1
Clark County,IL,90,10,0,0,0,0,2587,5138,1
Clark County,IN,91.3,8.7,4,1.7,0,0,20775,25422,1
Clark County,KS,51.5,48.5,31.2,19.1,11.5,3.9,171,791,1
Clark County,KY,92.3,7.7,5.1,3.2,0,0,5228,9931,1
Clark County,MO,52.5,47.5,15.8,6.8,0.9,0,1398,1730,1
Clark County,OH,95,5,0.3,0,0,0,30022,31116,1
Clark County,SD,64.5,35.5,5.9,0.2,0,0,713,1067,1
Clark County,WA,49,51,29.3,10.7,0,0,88822,88629,0
Clark County,WI,93,7,0.9,0,0,0,6173,7394,1
Clarke County,AL,68.8,31.2,13.5,6.3,3,0,6317,7463,1
Clarke County,GA,68.1,31.9,18.4,14,7.1,3,25386,13804,0
Clarke County,IA,53.1,46.9,24.8,7.3,5,0,2187,2124,0
Clarke County,MS,67.1,32.9,16.6,6.1,1.9,0,2695,4415,1
Clarke County,VA,77.3,22.7,0,0,0,0,3237,4295,1
Clatsop County,OR,54.1,45.9,27.1,7.1,0,0,9616,7101,0
Clay County,AL,56.4,43.6,27.6,14.8,8.2,4.9,1770,4802,1
Clay County,AR,71.9,28.1,16.9,3.2,0,0,1738,3225,1
Clay County,FL,75.2,24.8,6,0,0,0,25745,69996,1
Clay County,GA,56.9,43.1,27.5,8.3,1.9,0,862,537,0
Clay County,IA,88.9,11.1,2,0,0,0,3363,4934,1
Clay County,IL,80.5,19.5,0.6,0,0,0,1581,4184,1
Clay County,IN,89.4,10.6,0.8,0,0,0,3630,7065,1
Clay County,KS,65.3,34.7,14.5,3.5,0,0,811,2715,1
Clay County,KY,88.6,11.4,6.4,3.4,1.3,0,1111,6176,1
Clay County,MN,85.9,14.1,1.4,0,0,0,15210,12920,0
Clay County,MO,56.6,43.4,19.9,8.9,4.2,0.4,47250,56131,1
Clay County,MS,52.8,47.2,28.8,15.4,4.2,0.4,5860,3735,0
Clay County,NC,70,30,24.2,20.1,11.5,2.1,1573,3952,1
Clay County,NE,68.4,31.6,1.9,0,0,0,662,2213,1
Clay County,SD,86.5,13.5,4.4,0.9,0,0,2955,2146,0
Clay County,TN,84.2,15.8,5.7,3.6,1.3,0,1037,1747,1
Clay County,TX,74.1,25.9,14,4.4,0,0,740,4266,1
Clay County,WV,97.4,2.6,0,0,0,0,922,1957,1
Clayton County,GA,68.2,31.8,19.4,12.7,5.7,1.3,81439,14158,0
Clayton County,IA,94,6,1.2,0,0,0,4768,4146,0
Clear Creek County,CO,39.9,60.1,32.7,9.4,2.1,0,3041,2381,0
Clearfield County,PA,86.8,13.2,7.3,1.9,0,0,11093,20303,1
Clearwater County,ID,75.2,24.8,5.5,0,0,0,1032,2541,1
Clearwater County,MN,69.1,30.9,6.1,0,0,0,1753,2359,1
Cleburne County,AL,59.8,40.2,29.4,20.9,10.2,6.4,971,5269,1
Cleburne County,AR,64,36,20.3,5.3,0,0,2618,8691,1
Clermont County,OH,95.8,4.2,0.3,0,0,0,29334,62527,1
Cleveland County,AR,71.3,28.7,15.8,4.7,1.2,0,845,2313,1
Cleveland County,NC,72.9,27.1,17.8,9.6,1.7,0,16734,25440,1
Cleveland County,OK,57.6,42.4,23.4,11.8,0,0,34701,59019,1
Clinch County,GA,54.6,45.4,25,9.4,0.9,0,852,1598,1
Clinton County,IA,82.2,17.8,1,0,0,0,15123,9423,0
Clinton County,IL,77.6,22.4,5.6,0,0,0,5577,10493,1
Clinton County,IN,94.4,5.6,0,0,0,0,3307,6338,1
Clinton County,KY,90,10,5.7,3.6,1.3,0,752,3569,1
Clinton County,MI,85.5,14.5,4.8,0,0,0,18187,20630,1
Clinton County,MO,59.6,40.4,19.9,10.3,3.3,0,3685,5904,1
Clinton County,NY,67,33,23.9,3.3,0,0,17123,10054,0
Clinton County,OH,95.1,4.9,0,0,0,0,5534,11740,1
Clinton County,PA,82.7,17.3,8.6,2.3,0,0,5503,6941,1
Cloud County,KS,67.8,32.2,10.7,0,0,0,951,2886,1
Coahoma County,MS,68.5,31.5,11,2.4,0,0,7164,2356,0
Coal County,OK,55.9,44.1,32.2,17.7,2.5,0,648,1709,1
Cobb County,GA,60.7,39.3,26.5,20.6,13.8,0.6,132526,171464,1
Cochise County,AZ,36.2,63.8,46.5,14.4,1.2,0,16223,26742,1
Cochran County,TX,58.7,41.3,27.8,20.2,5.2,0,256,648,1
Cocke County,TN,73.8,26.2,16.2,9.6,1.8,0,2804,8459,1
Coconino County,AZ,41.4,58.6,40.2,26.2,9.8,0.7,26316,19368,0
Codington County,SD,77.4,22.6,2.1,0,0,0,4588,6696,1
Coffee County,AL,58.3,41.7,25.8,7.2,1.7,0,4899,14638,1
Coffee County,GA,51.7,48.3,28,4.2,0,0,5048,9242,1
Coffee County,TN,78.4,21.6,9.8,4.2,1.3,0,5865,13013,1
Coffey County,KS,60.7,39.3,20.6,9.3,0,0,884,2860,1
Coke County,TX,73,27,7.3,0.3,0,0,179,1216,1
Colbert County,AL,63.4,36.6,18.8,8.2,3.2,0.8,9160,13931,1
Cole County,MO,60.4,39.6,13.5,2.8,0.6,0,12003,24488,1
Coleman County,TX,62.9,37.1,16.6,4.8,0.5,0,441,3007,1
Coles County,IL,89.1,10.9,0.4,0,0,0,9252,11623,1
Colfax County,NE,89.9,10.1,0,0,0,0,959,2045,1
Colfax County,NM,35.7,64.3,43.3,38,26,12.1,2879,2763,0
Colleton County,SC,60.5,39.5,14.3,2.6,0,0,8470,8439,0
Collier County,FL,68.9,31.1,17.2,7.3,0,0,51678,96508,1
Collin County,TX,62.1,37.9,14.1,3.2,0.1,0,100754,195933,1
Collingsworth County,TX,51.1,48.9,33,18.6,11.6,0.5,177,962,1
Colorado County,TX,71.3,28.7,6.2,0.3,0,0,2024,6015,1
Colquitt County,GA,52.9,47.1,24.7,9,0.6,0,3971,9240,1
Columbia County,AR,62,38,22.7,8,0.6,0,3557,5790,1
Columbia County,FL,74.8,25.2,5.2,0.5,0,0,8462,18429,1
Columbia County,GA,49,51,16,3.8,0.8,0,16420,41724,1
Columbia County,NY,66.9,33.1,17.4,6.1,0,0,14244,11194,0
Columbia County,OR,52.6,47.4,29.8,12.5,0,0,11843,10645,0
Columbia County,PA,69.9,30.1,3.9,0,0,0,10424,13445,1
Columbia County,WA,64,36,13.2,0,0,0,634,1545,1
Columbia County,WI,93.6,6.4,0,0,0,0,17158,13014,0
Columbiana County,OH,92.3,7.7,1.8,0,0,0,19351,24778,1
Columbus County,NC,76.7,23.3,6.8,0,0,0,10973,12863,1
Colusa County,CA,54.3,45.7,27.5,4.7,0,0,2248,3521,1
Comal County,TX,61,39,17.8,4.2,0,0,11437,39291,1
Comanche County,KS,52.2,47.8,26.2,16.4,11.2,1.8,141,756,1
Comanche County,OK,57.1,42.9,26.4,13.8,4.2,0,12517,17657,1
Comanche County,TX,67.1,32.9,15.4,6.1,0.6,0,890,3940,1
Concho County,TX,66.7,33.3,16.8,3.7,0.4,0,194,793,1
Concordia Parish,LA,61.7,38.3,17.2,3,0.4,0,3833,5450,1
Conecuh County,AL,68,32,16.8,5,1.9,0,3551,3434,0
Conejos County,CO,46.8,53.2,40.7,37.5,29.5,1.5,2180,1794,0
Contra Costa County,CA,58.5,41.5,15.1,11,4,0,230826,112547,0
Converse County,WY,81,19,0.3,0,0,0,1089,5043,1
Conway County,AR,62.5,37.5,24.1,6.2,0.5,0,3003,4511,1
Cook County,GA,53.9,46.1,28.2,8.7,2,0,2042,3934,1
Cook County,IL,93.7,6.3,0,0,0,0,1439123,479204,0
Cook County,MN,86.4,13.6,0,0,0,0,1993,1221,0
Cooke County,TX,65,35,17.1,6.5,0,0,2240,11901,1
Cooper County,MO,54.2,45.8,21.9,8.4,1.6,0.2,2474,4887,1
Coos County,NH,80.1,19.9,1.9,0,0,0,9091,6342,0
Coos County,OR,60.9,39.1,23.3,17,9.9,0,12628,14398,1
Coosa County,AL,59.6,40.4,18,9.3,6.5,4.5,2188,3028,1
Copiah County,MS,63.3,36.7,12.3,4.1,1.2,0,7201,5714,0
Corson County,SD,51.7,48.3,35.9,19.1,2.3,0,647,515,0
Cortland County,NY,80.8,19.2,9.3,1.8,0,0,9445,7886,0
Coryell County,TX,64.1,35.9,18.1,7.8,0.8,0,5141,11193,1
Coshocton County,OH,92.1,7.9,2.7,0,0,0,6841,8312,1
Costilla County,CO,44.2,55.8,43.8,38.2,30.1,6.2,1317,440,0
Cottle County,TX,53.2,46.8,35.9,24.8,13,1.1,180,553,1
Cotton County,OK,65.8,34.2,18.4,9,0.8,0,657,1796,1
Cottonwood County,MN,96.9,3.1,0,0,0,0,2433,3316,1
Covington County,AL,60.5,39.5,19.8,5.9,1,0,3155,12148,1
Covington County,MS,79.1,20.9,7.8,2.4,0.9,0,3800,5282,1
Coweta County,GA,70.6,29.4,18.8,13.3,6.5,0.8,15156,39633,1
Cowley County,KS,62.1,37.9,21.5,8.4,0,0,4219,7932,1
Cowlitz County,WA,51.2,48.8,27.5,7.8,0,0,20897,19107,0
Craig County,OK,55.5,44.5,17.5,5.4,0.8,0,1746,3552,1
Craig County,VA,81.2,18.8,0,0,0,0,830,1757,1
Craighead County,AR,80.8,19.2,10,2.2,0,0,10351,20044,1
Crane County,TX,78.6,21.4,9.8,3,0.5,0,275,985,1
Craven County,NC,88.1,11.9,3.6,0,0,0,18556,26654,1
Crawford County,AR,56.1,43.9,31.3,20,4.4,0,4872,15125,1
Crawford County,GA,48.6,51.4,23.5,8.3,5.3,3.7,1699,3366,1
Crawford County,IA,93.6,6.4,1,0,0,0,3035,3584,1
Crawford County,IL,82.3,17.7,0.1,0,0,0,2855,5577,1
Crawford County,IN,87.8,12.2,4.7,0,0,0,2040,2418,1
Crawford County,KS,65.9,34.1,12.2,1.4,0,0,6545,7480,1
Crawford County,MI,90.9,9.1,2.7,0.3,0,0,2994,3744,1
Crawford County,MO,61,39,24.1,9.6,0.7,0,2951,6434,1
Crawford County,OH,88.5,11.5,3.8,0,0,0,7207,11561,1
Crawford County,PA,93.3,6.7,0,0,0,0,13024,19497,1
Crawford County,WI,92.1,7.9,1.5,0,0,0,4622,3064,0
Creek County,OK,58.4,41.6,18.8,12,0,0,7114,18964,1
Crenshaw County,AL,62.2,37.8,21,6.4,3.2,0,2048,4326,1
Crisp County,GA,51,49,23.2,8.2,2.5,0,3160,4179,1
Crittenden County,AR,79.1,20.9,6.5,1.7,0,0,9092,6192,0
Crittenden County,KY,90,10,4,1.8,0,0,960,2839,1
Crockett County,TN,86.7,13.3,5.1,2.9,0,0,1669,3782,1
Crockett County,TX,67.2,32.8,10.3,0.5,0,0,480,957,1
Crook County,OR,37.3,62.7,41.1,22.7,6.6,0,3081,6769,1
Crook County,WY,49.9,50.1,34.3,5.6,1,0,426,3109,1
Crosby County,TX,50,50,32,20.6,9.7,0,639,1132,1
Cross County,AR,82,18,6.7,2,0,0,2279,4268,1
Crow Wing County,MN,96.4,3.6,0,0,0,0,14760,19415,1
Crowley County,CO,39.8,60.2,53.5,21.5,7.7,1.8,535,924,1
Culberson County,TX,69.4,30.6,14.3,0.6,0.1,0,566,294,0
Cullman County,AL,65.7,34.3,22.2,14.1,6.5,1.7,4855,27930,1
Culpeper County,VA,65.9,34.1,16.8,0.8,0,0,8263,11549,1
Cumberland County,IL,88,12,0,0,0,0,1640,3506,1
Cumberland County,KY,86.2,13.8,5.7,3.8,1.5,0,599,2216,1
Cumberland County,ME,55.5,44.5,25.2,8.6,2.1,0,100977,57008,0
Cumberland County,NC,73.5,26.5,2.1,0,0,0,74991,50191,0
Cumberland County,NJ,89,11,0.8,0,0,0,30172,18767,0
Cumberland County,PA,71.6,28.4,12.7,0,0,0,43983,64365,1
Cumberland County,TN,76.8,23.2,11.4,6.4,2.9,0.8,6260,18651,1
Cumberland County,VA,59.6,40.4,12.4,0,0,0,2422,2538,1
Cuming County,NE,88.9,11.1,0,0,0,0,1015,2858,1
Currituck County,NC,90.5,9.5,0,0,0,0,3521,7431,1
Curry County,NM,49.2,50.8,32.6,19.5,7.3,0,3956,9150,1
Curry County,OR,67.3,32.7,19.4,12.6,4.4,0,4611,6577,1
Custer County,CO,37.1,62.9,41,34.5,23,2.8,862,1776,1
Custer County,ID,74,26,2.5,0,0,0,530,1744,1
Custer County,MT,67.5,32.5,19.3,12.5,5.6,0.6,1824,3353,1
Custer County,NE,76.1,23.9,0.6,0,0,0,1066,4251,1
Custer County,OK,52.2,47.8,35,20.8,15.1,0.5,2358,7442,1
Custer County,SD,48.8,51.2,35.4,5.7,0.1,0,1335,3062,1
Cuyahoga County,OH,89.2,10.8,5,0,0,0,420953,184475,0
Dade County,GA,67.6,32.4,24.8,19.5,12.9,6,1404,4458,1
Dade County,MO,55.3,44.7,12.9,2.5,0.2,0,939,2895,1
Daggett County,UT,41.3,58.7,26.9,3.5,0.5,0,91,399,1
Dakota County,MN,98.2,1.8,0,0,0,0,116252,109514,0
Dakota County,NE,87.8,12.2,3.3,1.4,0,0,2831,3048,1
Dale County,AL,59.6,40.4,27.1,10,1.5,0,5283,13105,1
Dallam County,TX,67.4,32.6,19,13.8,7.9,0.7,253,1248,1
Dallas County,AL,72.9,27.1,12.2,4.2,2.4,0,14599,6284,0
Dallas County,AR,72.3,27.7,16.1,5.5,1.4,0,1337,1664,1
Dallas County,IA,81,19,1.7,0,0,0,16466,20921,1
Dallas County,MO,58.8,41.2,10,2.5,0.5,0,2122,4992,1
Dallas County,TX,56.6,43.4,18,3.5,0.7,0,403170,294339,0
Dane County,WI,94.5,5.5,0,0,0,0,215389,83459,0
Daniels County,MT,49.1,50.9,33.2,28.1,16.8,6.1,236,735,1
Dare County,NC,92.8,7.2,0,0,0,0,7258,10102,1
Darke County,OH,92.3,7.7,0,0,0,0,6610,17745,1
Darlington County,SC,72,28,1.6,0,0,0,15452,14429,0
Dauphin County,PA,71.9,28.1,16.3,0,0,0,64209,56838,0
Davidson County,NC,67.5,32.5,8.5,0,0,0,20291,48935,1
Davidson County,TN,80.9,19.1,5.5,3.5,1.3,0,138899,94464,0
Davie County,NC,68.9,31.1,14,0,0,0,5652,14568,1
Daviess County,IN,83.2,16.8,0.6,0,0,0,2437,7638,1
Daviess County,KY,92.9,7.1,4.5,0.9,0,0,16208,25092,1
Daviess County,MO,52.6,47.4,20.1,11.5,6.5,1.6,1124,2282,1
Davis County,IA,36.7,63.3,34.3,12.4,3.1,0,1518,2133,1
Davis County,UT,34.8,65.2,46,29.4,1,0,20417,90030,1
Davison County,SD,78.2,21.8,5.7,1,0,0,3042,4754,1
Dawes County,NE,73.8,26.2,6.1,0,0,0,1102,2435,1
Dawson County,GA,63.1,36.9,28,24.5,13.4,4.9,1241,8843,1
Dawson County,MT,59.7,40.3,25.3,13.9,5.1,0.5,1219,3024,1
Dawson County,NE,72.3,27.7,0,0,0,0,2157,5370,1
Dawson County,TX,64.4,35.6,26.1,13,0.7,0,1017,2591,1
Day County,SD,54.2,45.8,14.6,0.3,0,0,1497,1320,0
De Soto Parish,LA,58.4,41.6,27.5,8.9,0.1,0,5552,7353,1
De Witt County,IL,75.4,24.6,4.6,0,0,0,2598,4576,1
Deaf Smith County,TX,56.4,43.6,25.7,19.3,10.7,0.2,1239,3042,1
Dearborn County,IN,95.8,4.2,0,0,0,0,6527,15391,1
Decatur County,GA,61.7,38.3,19.7,7.5,0,0,4580,5816,1
Decatur County,IA,48.7,51.3,22.1,4.4,0.3,0,1790,1945,1
Decatur County,IN,94.7,5.3,0,0,0,0,2941,7119,1
Decatur County,KS,61.9,38.1,1.5,0,0,0,266,1219,1
Decatur County,TN,80,20,6.3,3.4,0,0,1302,2873,1
Deer Lodge County,MT,64.4,35.6,14.8,0.6,0,0,2829,1431,0
Defiance County,OH,92.6,7.4,0,0,0,0,7438,9935,1
DeKalb County,AL,66,34,23.1,15.6,9.2,3,5235,18316,1
DeKalb County,GA,65.6,34.4,22.3,15.1,5.5,0.1,237704,64308,0
DeKalb County,IL,94.8,5.2,0,0,0,0,21171,18906,0
DeKalb County,IN,97,3,0.1,0,0,0,5419,10586,1
DeKalb County,MO,54.1,45.9,21.4,11.5,7.4,0.4,1194,3056,1
DeKalb County,TN,82.6,17.4,5.7,3.8,1.3,0,2168,4134,1
Del Norte County,CA,71.9,28.1,17.4,3.9,0,0,3396,4256,1
Delaware County,IA,92.8,7.2,1.3,0,0,0,4605,4628,1
Delaware County,IN,99.5,0.5,0,0,0,0,22630,21231,0
Delaware County,NY,82,18,1.5,0,0,0,7469,9085,1
Delaware County,OH,95.4,4.6,0,0,0,0,36131,58980,1
Delaware County,OK,49.5,50.5,26,4.8,0.2,0,4176,10056,1
Delaware County,PA,75.5,24.5,10.5,0,0,0,164805,105270,0
Delta County,CO,37.7,62.3,42.2,38.2,29,6.2,4542,10762,1
Delta County,MI,99.4,0.6,0,0,0,0,8330,9533,1
Delta County,TX,49,51,36.7,14.8,0.5,0,454,1524,1
Dent County,MO,63.7,36.3,19.1,8.3,0.6,0,1585,4883,1
Denton County,TX,61.8,38.2,20.6,7.7,1.1,0,79917,156105,1
Denver County,CO,33.4,66.6,28.1,1.7,0,0,209759,69755,0
Des Moines County,IA,49.2,50.8,11,1.8,0,0,11873,8130,0
Deschutes County,OR,40.7,59.3,35.1,22.1,15.3,0,34985,40670,1
Desha County,AR,69.3,30.7,13.5,2.4,0,0,2353,1807,0
DeSoto County,FL,78.5,21.5,11.4,6.1,2.1,0,4174,5587,1
DeSoto County,MS,74.2,25.8,8.8,1.9,0,0,20979,42399,1
Deuel County,NE,60.5,39.5,16.5,0,0,0,215,763,1
Deuel County,SD,94,6,0,0,0,0,941,1175,1
Dewey County,OK,53.5,46.5,33.2,19.5,15,4.6,301,1769,1
Dewey County,SD,48.3,51.7,32.5,9.4,2.1,0,1207,663,0
DeWitt County,TX,61.8,38.2,17.6,0.6,0,0,1463,5114,1
Dickens County,TX,57.1,42.9,26.6,17.9,10.4,0.1,216,793,1
Dickenson County,VA,85.2,14.8,3.3,1.3,0,0,2472,4274,1
Dickey County,ND,60,40,14.7,3.7,0.3,0,849,1601,1
Dickinson County,IA,92,8,0,0,0,0,4088,5911,1
Dickinson County,KS,61.7,38.3,22.3,15.8,3.7,0,1962,5709,1
Dickinson County,MI,93,7,0,0,0,0,4952,7688,1
Dickson County,TN,82.8,17.2,5.1,3.2,0.7,0,6228,11287,1
Dillon County,SC,70.8,29.2,2.9,0,0,0,7623,5477,0
Dimmit County,TX,51.5,48.5,20.5,6.8,1.5,0,2141,762,0
Dinwiddie County,VA,71.2,28.8,10.8,0,0,0,6425,6769,1
District of Columbia,DC,59.3,40.7,28.7,3.3,0,0,222332,17337,0
Divide County,ND,48.8,51.2,38.1,16.9,6.4,1.3,382,731,1
