county,state,None,D0,D1,D2,D3,D4,blueVoter,redVoter,target
Ashley County,AR,71.8,28.2,17.7,7.6,0.2,0,2855,4866,1
Ashtabula County,OH,91.7,8.3,0,0,0,0,22964,17890,0
Asotin County,WA,65,35,8,0,0,0,3993,5647,1
Assumption Parish,LA,74.4,25.6,2.6,0,0,0,4754,6082,1
Atascosa County,TX,63.8,36.2,14.2,1.6,0,0,5128,7451,1
Atchison County,KS,61.3,38.7,21.8,5.5,2.1,0,2486,3836,1
Atchison County,MO,74.4,25.6,9.8,0.8,0,0,756,1902,1
Athens County,OH,93.3,6.7,0,0,0,0,17268,8118,0
Atkinson County,GA,51,49,31.8,11.4,0,0,930,1938,1
Atlantic County,NJ,86.7,13.3,0.6,0,0,0,59509,41918,0
Atoka County,OK,52,48,37.7,20.4,5.1,0,1241,3534,1
Attala County,MS,69,31,21.2,7.9,3.2,0,3368,4452,1
Audrain County,MO,56.7,43.3,19.8,1.5,0,0,3538,6186,1
Audubon County,IA,93.3,6.7,0,0,0,0,1608,1800,1
Auglaize County,OH,89.5,10.5,1,0,0,0,5643,16802,1
Augusta County,VA,68.6,31.4,8.3,0,0,0,9448,23614,1
Aurora County,SD,75.6,24.4,8.7,3.2,0,0,556,804,1
Austin County,TX,78.3,21.7,2.1,0,0,0,2252,9260,1
Autauga County,AL,69.6,30.4,10.6,6,2.7,0,6354,17366,1
Avery County,NC,77.1,22.9,14.2,1.9,0,0,1861,5708,1
Avoyelles Parish,LA,66.5,33.5,13.8,2,0,0,6075,10667,1
Baca County,CO,55.1,44.9,28.6,18.3,11.1,0,462,1554,1
Bacon County,GA,52.8,47.2,24.5,6.9,0,0,791,3092,1
Bailey County,TX,64.5,35.5,24.1,19,2.7,0,466,1336,1
Baker County,FL,73.9,26.1,8.1,0.4,0,0,2310,8974,1
Baker County,GA,62.2,37.8,18.8,7.8,1.2,0,790,784,0
Baker County,OR,31.6,68.4,44.6,19.8,1.9,0,2364,5692,1
Baldwin County,AL,64.7,35.3,12.9,3.6,0.3,0,18329,65772,1
Baldwin County,GA,40.8,59.2,27.5,10.8,7.2,3.3,8469,7585,0
Ballard County,KY,78.5,21.5,5.1,1.1,0,0,1189,2647,1
Baltimore County,MD,0,0,0,0,0,0,202733,144686,0
Bamberg County,SC,61.2,38.8,10.5,2.3,0,0,4600,2190,0
Bandera County,TX,52.9,47.1,23.3,3.9,0,0,1859,7423,1
Banks County,GA,68.5,31.5,24.9,21.4,9.6,4.5,779,5353,1
