county,state,None,D0,D1,D2,D3,D4,Overall D,blue_2012,red_2012,blue_2016,red_2016,target_2012,target_2016
Clinton County,MO,59.6,40.4,19.9,10.3,3.3,0,73.9,3685,5904,2572,7058,1,1
Clinton County,NY,67,33,23.9,3.3,0,0,60.2,17123,10054,13446,13181,0,0
Clinton County,OH,95.1,4.9,0,0,0,0,4.9,5534,11740,3943,13466,1,1
Clinton County,PA,82.7,17.3,8.6,2.3,0,0,28.2,5503,6941,4533,9701,1,1
Cloud County,KS,67.8,32.2,10.7,0,0,0,42.9,951,2886,744,2856,1,1
Coahoma County,MS,68.5,31.5,11,2.4,0,0,44.9,7164,2356,6378,2426,0,0
Coal County,OK,55.9,44.1,32.2,17.7,2.5,0,96.5,648,1709,411,1892,1,1
Cobb County,GA,60.7,39.3,26.5,20.6,13.8,0.6,100.8,132526,171464,159416,152602,1,0
Cochise County,AZ,36.2,63.8,46.5,14.4,1.2,0,125.9,16223,26742,15291,25036,1,1
Cochran County,TX,58.7,41.3,27.8,20.2,5.2,0,94.5,256,648,190,679,1,1
Cocke County,TN,73.8,26.2,16.2,9.6,1.8,0,53.8,2804,8459,1980,9791,1,1
Coconino County,AZ,41.4,58.6,40.2,26.2,9.8,0.7,135.5,26316,19368,25308,16573,0,0
Codington County,SD,77.4,22.6,2.1,0,0,0,24.7,4588,6696,3174,7764,1,1
Coffee County,AL,58.3,41.7,25.8,7.2,1.7,0,76.4,4899,14638,4194,15825,1,1
Coffee County,GA,51.7,48.3,28,4.2,0,0,80.5,5048,9242,4090,9575,1,1
Coffee County,TN,78.4,21.6,9.8,4.2,1.3,0,36.9,5865,13013,4741,14409,1,1
Coffey County,KS,60.7,39.3,20.6,9.3,0,0,69.2,884,2860,719,2990,1,1
Coke County,TX,73,27,7.3,0.3,0,0,34.6,179,1216,140,1265,1,1
Colbert County,AL,63.4,36.6,18.8,8.2,3.2,0.8,67.6,9160,13931,7296,16718,1,1
Cole County,MO,60.4,39.6,13.5,2.8,0.6,0,56.5,12003,24488,10907,24610,1,1
Coleman County,TX,62.9,37.1,16.6,4.8,0.5,0,59,441,3007,387,3177,1,1
Coles County,IL,89.1,10.9,0.4,0,0,0,11.3,9252,11623,7285,12985,1,1
Colfax County,NE,89.9,10.1,0,0,0,0,10.1,959,2045,857,2171,1,1
Colfax County,NM,35.7,64.3,43.3,38,26,12.1,183.7,2879,2763,2118,2569,0,1
