county,state,None,D0,D1,D2,D3,D4,Overall D,blue_2012,red_2012,blue_2016,red_2016,target_2012,target_2016
Crockett County,TX,67.2,32.8,10.3,0.5,0,0,43.6,480,957,372,980,1,1
Crook County,OR,37.3,62.7,41.1,22.7,6.6,0,133.1,3081,6769,2591,8388,1,1
Crook County,WY,49.9,50.1,34.3,5.6,1,0,91,426,3109,271,3347,1,1
Crosby County,TX,50,50,32,20.6,9.7,0,112.3,639,1132,468,1180,1,1
Cross County,AR,82,18,6.7,2,0,0,26.7,2279,4268,1995,4577,1,1
Crow Wing County,MN,96.4,3.6,0,0,0,0,3.6,14760,19415,10982,22287,1,1
Crowley County,CO,39.8,60.2,53.5,21.5,7.7,1.8,144.7,535,924,336,1069,1,1
Culberson County,TX,69.4,30.6,14.3,0.6,0.1,0,45.6,566,294,454,280,0,0
Cullman County,AL,65.7,34.3,22.2,14.1,6.5,1.7,78.8,4855,27930,3730,32734,1,1
Culpeper County,VA,65.9,34.1,16.8,0.8,0,0,51.7,8263,11549,7744,13341,1,1
Cumberland County,IL,88,12,0,0,0,0,12,1640,3506,1028,4200,1,1
Cumberland County,KY,86.2,13.8,5.7,3.8,1.5,0,24.8,599,2216,459,2502,1,1
Cumberland County,ME,55.5,44.5,25.2,8.6,2.1,0,80.4,100977,57008,102935,57697,0,0
Cumberland County,NC,73.5,26.5,2.1,0,0,0,28.6,74991,50191,70523,50593,0,0
Cumberland County,NJ,89,11,0.8,0,0,0,11.8,30172,18767,27045,24213,0,0
Cumberland County,PA,71.6,28.4,12.7,0,0,0,41.1,43983,64365,44282,65649,1,1
Cumberland County,TN,76.8,23.2,11.4,6.4,2.9,0.8,44.7,6260,18651,5202,20410,1,1
Cumberland County,VA,59.6,40.4,12.4,0,0,0,52.8,2422,2538,2032,2693,1,1
Cuming County,NE,88.9,11.1,0,0,0,0,11.1,1015,2858,712,3095,1,1
Currituck County,NC,90.5,9.5,0,0,0,0,9.5,3521,7431,2879,9070,1,1
Curry County,NM,49.2,50.8,32.6,19.5,7.3,0,110.2,3956,9150,2776,7560,1,1
Curry County,OR,67.3,32.7,19.4,12.6,4.4,0,69.1,4611,6577,4253,7157,1,1
Custer County,CO,37.1,62.9,41,34.5,23,2.8,164.2,862,1776,797,2059,1,1
Custer County,ID,74,26,2.5,0,0,0,28.5,530,1744,427,1777,1,1
Custer County,MT,67.5,32.5,19.3,12.5,5.6,0.6,70.5,1824,3353,1172,3638,1,1
Custer County,NE,76.1,23.9,0.6,0,0,0,24.5,1066,4251,635,4616,1,1
Custer County,OK,52.2,47.8,35,20.8,15.1,0.5,119.2,2358,7442,2102,7818,1,1
Custer County,SD,48.8,51.2,35.4,5.7,0.1,0,92.4,1335,3062,1120,3290,1,1
Cuyahoga County,OH,89.2,10.8,5,0,0,0,15.8,420953,184475,383974,179894,0,0
Dade County,GA,67.6,32.4,24.8,19.5,12.9,6,95.6,1404,4458,965,5047,1,1
Dade County,MO,55.3,44.7,12.9,2.5,0.2,0,60.3,939,2895,637,3184,1,1
Daggett County,UT,41.3,58.7,26.9,3.5,0.5,0,89.6,91,399,76,327,1,1
Dakota County,MN,98.2,1.8,0,0,0,0,1.8,116252,109514,110251,99624,0,0
Dakota County,NE,87.8,12.2,3.3,1.4,0,0,16.9,2831,3048,2904,4028,1,1
Dale County,AL,59.6,40.4,27.1,10,1.5,0,79,5283,13105,4408,13798,1,1
Dallam County,TX,67.4,32.6,19,13.8,7.9,0.7,74,253,1248,222,1258,1,1
Dallas County,AL,72.9,27.1,12.2,4.2,2.4,0,45.9,14599,6284,12826,5784,0,0
Dallas County,AR,72.3,27.7,16.1,5.5,1.4,0,50.7,1337,1664,1165,1507,1,1
Dallas County,IA,81,19,1.7,0,0,0,20.7,16466,20921,15662,19288,1,1
Dallas County,MO,58.8,41.2,10,2.5,0.5,0,54.2,2122,4992,1271,5895,1,1
Dallas County,TX,56.6,43.4,18,3.5,0.7,0,65.6,403170,294339,458845,261865,0,0
Dane County,WI,94.5,5.5,0,0,0,0,5.5,215389,83459,217506,71270,0,0
Daniels County,MT,49.1,50.9,33.2,28.1,16.8,6.1,135.1,236,735,167,729,1,1
Dare County,NC,92.8,7.2,0,0,0,0,7.2,7258,10102,7079,11283,1,1
Darke County,OH,92.3,7.7,0,0,0,0,7.7,6610,17745,4395,19698,1,1
Darlington County,SC,72,28,1.6,0,0,0,29.6,15452,14429,13866,14973,0,1
Dauphin County,PA,71.9,28.1,16.3,0,0,0,44.4,64209,56838,64287,60620,0,0
Davidson County,NC,67.5,32.5,8.5,0,0,0,41,20291,48935,17328,52870,1,1
Davidson County,TN,80.9,19.1,5.5,3.5,1.3,0,29.4,138899,94464,148473,84365,0,0
Davie County,NC,68.9,31.1,14,0,0,0,45.1,5652,14568,5228,15502,1,1
Daviess County,IN,83.2,16.8,0.6,0,0,0,17.4,2437,7638,1800,8545,1,1
Daviess County,KY,92.9,7.1,4.5,0.9,0,0,12.5,16208,25092,14163,28907,1,1
Daviess County,MO,52.6,47.4,20.1,11.5,6.5,1.6,87.1,1124,2282,730,2763,1,1
Davis County,IA,36.7,63.3,34.3,12.4,3.1,0,113.1,1518,2133,976,2721,1,1
Davis County,UT,34.8,65.2,46,29.4,1,0,141.6,20417,90030,22575,46985,1,1
Davison County,SD,78.2,21.8,5.7,1,0,0,28.5,3042,4754,2355,5157,1,1
Dawes County,NE,73.8,26.2,6.1,0,0,0,32.3,1102,2435,785,2559,1,1
Dawson County,GA,63.1,36.9,28,24.5,13.4,4.9,107.7,1241,8843,1444,9880,1,1
Dawson County,MT,59.7,40.3,25.3,13.9,5.1,0.5,85.1,1219,3024,786,3298,1,1
Dawson County,NE,72.3,27.7,0,0,0,0,27.7,2157,5370,2116,5935,1,1
Dawson County,TX,64.4,35.6,26.1,13,0.7,0,75.4,1017,2591,835,2636,1,1
Day County,SD,54.2,45.8,14.6,0.3,0,0,60.7,1497,1320,974,1627,0,1
De Soto Parish,LA,58.4,41.6,27.5,8.9,0.1,0,78.1,5552,7353,5163,8067,1,1
De Witt County,IL,75.4,24.6,4.6,0,0,0,29.2,2598,4576,1907,5072,1,1
Deaf Smith County,TX,56.4,43.6,25.7,19.3,10.7,0.2,99.5,1239,3042,1185,2911,1,1
Dearborn County,IN,95.8,4.2,0,0,0,0,4.2,6527,15391,4883,18110,1,1
Decatur County,GA,61.7,38.3,19.7,7.5,0,0,65.5,4580,5816,4104,6009,1,1
Decatur County,IA,48.7,51.3,22.1,4.4,0.3,0,78.1,1790,1945,1201,2296,1,1
Decatur County,IN,94.7,5.3,0,0,0,0,5.3,2941,7119,2121,8488,1,1
Decatur County,KS,61.9,38.1,1.5,0,0,0,39.6,266,1219,178,1220,1,1
Decatur County,TN,80,20,6.3,3.4,0,0,29.7,1302,2873,894,3580,1,1
Deer Lodge County,MT,64.4,35.6,14.8,0.6,0,0,51,2829,1431,2018,1736,0,0
Defiance County,OH,92.6,7.4,0,0,0,0,7.4,7438,9935,5282,11478,1,1
DeKalb County,AL,66,34,23.1,15.6,9.2,3,84.9,5235,18316,3682,21779,1,1
DeKalb County,GA,65.6,34.4,22.3,15.1,5.5,0.1,77.4,237704,64308,239131,47531,0,0
DeKalb County,IL,94.8,5.2,0,0,0,0,5.2,21171,18906,20348,19051,0,0
DeKalb County,IN,97,3,0.1,0,0,0,3.1,5419,10586,3941,12054,1,1
DeKalb County,MO,54.1,45.9,21.4,11.5,7.4,0.4,86.6,1194,3056,824,3540,1,1
DeKalb County,TN,82.6,17.4,5.7,3.8,1.3,0,28.2,2168,4134,1566,5164,1,1
Del Norte County,CA,71.9,28.1,17.4,3.9,0,0,49.4,3396,4256,3485,5134,1,1
Delaware County,IA,92.8,7.2,1.3,0,0,0,8.5,4605,4628,2956,5688,1,1
Delaware County,IN,99.5,0.5,0,0,0,0,0.5,22630,21231,18100,24217,0,1
Delaware County,NY,82,18,1.5,0,0,0,19.5,7469,9085,5825,11012,1,1
Delaware County,OH,95.4,4.6,0,0,0,0,4.6,36131,58980,39584,55660,1,1
Delaware County,OK,49.5,50.5,26,4.8,0.2,0,81.5,4176,10056,3306,11796,1,1
Delaware County,PA,75.5,24.5,10.5,0,0,0,35,164805,105270,169169,106559,0,0
Delta County,CO,37.7,62.3,42.2,38.2,29,6.2,177.9,4542,10762,4048,11584,1,1
Delta County,MI,99.4,0.6,0,0,0,0,0.6,8330,9533,6431,11112,1,1
Delta County,TX,49,51,36.7,14.8,0.5,0,103,454,1524,400,1836,1,1
Dent County,MO,63.7,36.3,19.1,8.3,0.6,0,64.3,1585,4883,978,5599,1,1
Denton County,TX,61.8,38.2,20.6,7.7,1.1,0,67.6,79917,156105,110000,169175,1,1
Denver County,CO,33.4,66.6,28.1,1.7,0,0,96.4,209759,69755,174611,43637,0,0
Des Moines County,IA,49.2,50.8,11,1.8,0,0,63.6,11873,8130,8178,9479,0,1
Deschutes County,OR,40.7,59.3,35.1,22.1,15.3,0,131.8,34985,40670,40222,43667,1,1
Desha County,AR,69.3,30.7,13.5,2.4,0,0,46.6,2353,1807,2227,1915,0,0
DeSoto County,FL,78.5,21.5,11.4,6.1,2.1,0,41.1,4174,5587,3761,6744,1,1
DeSoto County,MS,74.2,25.8,8.8,1.9,0,0,36.5,20979,42399,19892,42155,1,1
Deuel County,NE,60.5,39.5,16.5,0,0,0,56,215,763,120,809,1,1
Deuel County,SD,94,6,0,0,0,0,6,941,1175,570,1366,1,1
Dewey County,OK,53.5,46.5,33.2,19.5,15,4.6,118.8,301,1769,222,1964,1,1
Dewey County,SD,48.3,51.7,32.5,9.4,2.1,0,95.7,1207,663,887,723,0,0
DeWitt County,TX,61.8,38.2,17.6,0.6,0,0,56.4,1463,5114,1161,5510,1,1
Dickens County,TX,57.1,42.9,26.6,17.9,10.4,0.1,97.9,216,793,128,755,1,1
Dickenson County,VA,85.2,14.8,3.3,1.3,0,0,19.4,2472,4274,1335,4932,1,1
Dickey County,ND,60,40,14.7,3.7,0.3,0,58.7,849,1601,551,1656,1,1
Dickinson County,IA,92,8,0,0,0,0,8,4088,5911,3051,6743,1,1
Dickinson County,KS,61.7,38.3,22.3,15.8,3.7,0,80.1,1962,5709,1582,5905,1,1
Dickinson County,MI,93,7,0,0,0,0,7,4952,7688,3923,8580,1,1
Dickson County,TN,82.8,17.2,5.1,3.2,0.7,0,26.2,6228,11287,4718,13213,1,1
Dillon County,SC,70.8,29.2,2.9,0,0,0,32.1,7623,5477,5832,5637,0,0
Dimmit County,TX,51.5,48.5,20.5,6.8,1.5,0,77.3,2141,762,2173,974,0,0
Dinwiddie County,VA,71.2,28.8,10.8,0,0,0,39.6,6425,6769,5765,7447,1,1
District of Columbia,DC,59.3,40.7,28.7,3.3,0,0,72.7,222332,17337,260223,11553,0,0
Divide County,ND,48.8,51.2,38.1,16.9,6.4,1.3,113.9,382,731,243,860,1,1
Dixie County,FL,79.8,20.2,3.3,0,0,0,23.5,1798,5052,1270,5822,1,1
Dixon County,NE,85.5,14.5,4.6,2.3,0,0,21.4,870,1745,556,2041,1,1
Doddridge County,WV,95.8,4.2,0,0,0,0,4.2,571,2108,360,2347,1,1
Dodge County,GA,48.5,51.5,13.9,3.8,1.5,0,70.7,2440,5214,1836,5021,1,1
Dodge County,MN,99.8,0.2,0,0,0,0,0.2,4487,5522,3102,6527,1,1
Dodge County,NE,90.7,9.3,0,0,0,0,9.3,5588,8937,4451,9736,1,1
Dodge County,WI,96.8,3.2,0,0,0,0,3.2,18745,25190,13968,26643,1,1
Dolores County,CO,40.8,59.2,43.4,38.7,33.2,24.7,199.2,329,838,227,936,1,1
Dona Ana County,NM,50.4,49.6,17.1,1.2,0,0,67.9,36778,26988,37543,25095,0,0
Doniphan County,KS,66.4,33.6,18.5,2.2,0.1,0,54.4,885,2397,584,2601,1,1
Donley County,TX,45.1,54.9,37.1,22.9,16.1,5.3,136.3,226,1286,190,1225,1,1
Dooly County,GA,45.3,54.7,29.6,9,4.7,0,98,2278,1983,1860,1941,0,1
Door County,WI,97.1,2.9,0,0,0,0,2.9,9338,8109,8026,8584,0,1
Dorchester County,MD,86.7,13.3,1.1,0,0,0,14.4,6570,7514,5695,7938,1,1
Dorchester County,SC,67.6,32.4,13.9,2.3,0,0,48.6,23390,32469,24010,34932,1,1
Dougherty County,GA,56,44,20.7,7.2,1.7,0,73.6,26209,11441,23224,10227,0,0
Douglas County,CO,30.7,69.3,35.9,0.3,0,0,105.5,54093,93930,67045,100178,1,1
Douglas County,GA,64.7,35.3,23.7,16.8,9.3,0.2,85.3,28410,26226,30971,24803,0,0
Douglas County,IL,91,9,2.4,0,0,0,11.4,2426,5331,1946,5695,1,1
Douglas County,KS,56,44,23.6,9.6,6.1,0.1,83.4,28012,17028,30089,14308,0,0
Douglas County,MN,91.3,8.7,0.1,0,0,0,8.8,8665,11905,6227,13966,1,1
Douglas County,MO,58,42,19.4,9.9,0,0,71.3,1709,4649,984,5486,1,1
Douglas County,NE,85,15,0,0,0,0,15,99261,108319,105207,102151,1,0
Douglas County,OR,46.4,53.6,23.2,18.8,10.1,0,105.7,17032,30588,13891,34112,1,1
Douglas County,SD,79.2,20.8,7.7,1.5,0,0,30,332,1334,214,1338,1,1
Douglas County,WA,47.8,52.2,2.7,0,0,0,54.9,5047,9287,3600,7208,1,1
Douglas County,WI,97.4,2.6,0,0,0,0,2.6,14855,7698,11342,9657,0,0
Drew County,AR,67.8,32.2,16.6,2.8,0.2,0,51.8,2627,3883,2364,3967,1,1
Dubois County,IN,86.4,13.6,5,0,0,0,18.6,6522,11654,5389,13365,1,1
Dubuque County,IA,92.4,7.6,0,0,0,0,7.6,28600,21265,22774,23384,0,1
Duchesne County,UT,41.9,58.1,40.6,23.9,5.5,0,128.1,570,5608,500,5505,1,1
Dukes County,MA,72.3,27.7,6.8,2.5,0,0,37,7955,2789,8338,2474,0,0
Dundy County,NE,68.3,31.7,15.8,0,0,0,47.5,176,791,89,823,1,1
Dunklin County,MO,78.6,21.4,8.5,2,0,0,31.9,3635,6849,2360,8026,1,1
Dunn County,ND,50.2,49.8,32.2,8.8,4.7,0.2,95.7,493,1494,356,1753,1,1
Dunn County,WI,95.5,4.5,0,0,0,0,4.5,11303,10210,9025,11487,0,1
DuPage County,IL,95.1,4.9,0,0,0,0,4.9,197411,193333,222499,164355,0,0
Duplin County,NC,80.9,19.1,4.8,0,0,0,23.9,8923,11330,8196,12151,1,1
Durham County,NC,64.6,35.4,13.9,0,0,0,49.3,109185,33326,118783,27879,0,0
Dutchess County,NY,66.6,33.4,20.3,13.4,1.2,0,68.3,59885,52320,56874,58163,0,1
Duval County,FL,67.2,32.8,8.2,0.2,0,0,41.2,196657,211553,203627,210061,1,1
Duval County,TX,63.1,36.9,12.8,0.7,0,0,50.4,3331,979,2783,1316,0,0
Dyer County,TN,83.4,16.6,6.2,2,0,0,24.8,3757,9921,2815,10175,1,1
Eagle County,CO,40.5,59.5,35.1,24.5,9.1,0,128.2,12598,9317,12652,8153,0,0
Early County,GA,60.4,39.6,23.3,7.2,1.5,0,71.6,2762,2556,2165,2552,0,1
East Baton Rouge Parish,LA,81.8,18.2,5.4,1.3,0,0,24.9,102460,92235,102711,84620,0,0
East Carroll Parish,LA,67.7,32.3,15.8,8.7,1.3,0,58.1,2244,1122,1838,1059,0,0
East Feliciana Parish,LA,78.4,21.6,5.5,1.3,0,0,28.4,4648,5397,4235,5569,1,1
Eastland County,TX,66.6,33.4,13.6,4.1,0,0,51.1,970,5443,776,6008,1,1
Eaton County,MI,84,16,8,0,0,0,24,27912,26193,24534,27608,0,1
Eau Claire County,WI,95.5,4.5,0.2,0,0,0,4.7,30618,23218,27271,23301,0,0
Echols County,GA,59.3,40.7,21.5,5.7,0,0,67.9,173,917,156,1006,1,1
Ector County,TX,80.2,19.8,11.7,1.5,0.1,0,33.1,8095,23936,10225,24976,1,1
Eddy County,ND,44.5,55.5,18.9,5.4,1.7,0,81.5,484,631,354,790,1,1
Eddy County,NM,53.9,46.1,28.9,11.2,0,0,86.2,6110,12546,5008,13124,1,1
Edgar County,IL,86.8,13.2,2.8,0,0,0,16,2563,5125,1778,5634,1,1
Edgecombe County,NC,83.1,16.9,0,0,0,0,16.9,18249,8494,16152,8219,0,0
Edgefield County,SC,48.1,51.9,15.5,1.7,0,0,69.1,4965,6511,4491,6842,1,1
Edmonson County,KY,89.4,10.6,5.1,3.2,0,0,18.9,1374,3232,979,4135,1,1
Edmunds County,SD,41.3,58.7,34.2,11.5,0.3,0,104.7,622,1264,380,1433,1,1
Edwards County,IL,74.1,25.9,0,0,0,0,25.9,754,2402,432,2777,1,1
Edwards County,KS,49.8,50.2,30.8,15.3,9.2,0,105.5,291,1048,208,1033,1,1
Edwards County,TX,62.8,37.2,17.1,5.2,0.6,0,60.1,232,641,302,741,1,1
Effingham County,GA,53.9,46.1,24.2,3,0,0,73.3,4941,15591,4851,17865,1,1
Effingham County,IL,80.5,19.5,0.9,0,0,0,20.4,3855,12491,3071,13613,1,1
El Dorado County,CA,74.1,25.9,13.6,3.5,0,0,43,34033,49661,35243,47633,1,1
El Paso County,CO,38.3,61.7,48.7,10.7,0.3,0,121.4,104989,163819,105807,176506,1,1
El Paso County,TX,76.3,23.7,2.5,0,0,0,26.2,112273,56517,145509,54567,0,0
Elbert County,CO,34.1,65.9,44.8,9.3,0,0,120,3542,10148,3056,11536,1,1
Elbert County,GA,59.3,40.7,21.5,16.5,8,3.7,90.4,3179,4857,2507,5269,1,1
Elk County,KS,63.1,36.9,15.9,7.8,0,0,60.6,277,1040,160,1048,1,1
Elk County,PA,87.9,12.1,3.8,0.1,0,0,16,5144,7099,3637,9704,1,1
Elkhart County,IN,87.8,12.2,0.2,0,0,0,12.4,24376,42348,20667,41810,1,1
Elliott County,KY,90.9,9.1,6.3,3.1,0,0,18.5,1186,1126,740,2000,0,1
Ellis County,KS,56.4,43.6,15.4,7.1,0,0,66.1,3464,9057,2669,8311,1,1
Ellis County,OK,45.8,54.2,40.3,26.1,15.2,6,141.8,226,1575,155,1610,1,1
Ellis County,TX,59.9,40.1,18.5,3.1,0.2,0,61.9,13803,39353,16197,44807,1,1
Ellsworth County,KS,63.3,36.7,26.4,14.5,0,0,77.6,696,1905,515,1933,1,1
Elmore County,AL,68.1,31.9,13.6,7.2,4.6,0,57.3,8940,26223,8436,27619,1,1
Elmore County,ID,59.7,40.3,2.6,0,0,0,42.9,2513,5227,1814,5816,1,1
Emanuel County,GA,54,46,19.6,0.6,0,0,66.2,2919,5086,2433,5330,1,1
Emery County,UT,35.5,64.5,42.3,32.8,17.5,0.6,157.7,569,3743,379,3402,1,1
Emmet County,IA,95.9,4.1,0.1,0,0,0,4.2,2087,2499,1356,3121,1,1
Emmet County,MI,88.7,11.3,4.4,1.3,0,0,17,7225,10253,6972,10616,1,1
Emmons County,ND,57.8,42.2,27.5,11.3,4.5,0,85.5,383,1430,215,1672,1,1
Erath County,TX,64.3,35.7,15.8,6.1,0.2,0,57.8,1965,10325,2159,11205,1,1
Erie County,NY,76.7,23.3,13.2,7.3,0.6,0,44.4,220184,159678,192065,173817,0,0
Erie County,OH,85.2,14.8,2.8,0,0,0,17.6,20969,16655,15692,19301,0,1
Erie County,PA,93.7,6.3,0.1,0,0,0,6.4,65136,46102,54820,57168,0,1
Escambia County,AL,64.1,35.9,14,5.1,0.6,0,55.6,5476,9263,4698,10282,1,1
Escambia County,FL,70,30,12.8,2.3,0,0,45.1,58154,88671,57114,88370,1,1
Essex County,MA,65.7,34.3,22.2,14.7,12.4,0,83.6,208723,149808,220027,135405,0,0
Essex County,NJ,70.6,29.4,19.1,7.7,0,0,56.2,217950,61595,231031,62059,0,0
Essex County,NY,63.2,36.8,22.7,2.6,0,0,62.1,8835,6495,6760,7275,0,1
Essex County,VA,80.8,19.2,0.2,0,0,0,19.4,3009,2602,2541,2657,0,1
Essex County,VT,73.6,26.4,0.7,0,0,0,27.1,1539,1169,1019,1506,0,1
Estill County,KY,91.9,8.1,5.1,3.5,0,0,16.7,1356,3749,1108,4236,1,1
Etowah County,AL,58.8,41.2,23.6,16.9,9.3,5.9,96.9,12792,29102,10350,32132,1,1
Evangeline Parish,LA,69.7,30.3,12.6,1.9,0,0,44.8,5330,10176,4208,10357,1,1
Evans County,GA,58.3,41.7,17.2,2.1,0,0,61,1266,2267,1130,2404,1,1
Fairfax County,VA,59.9,40.1,22.8,3.8,0,0,66.7,260835,173786,354485,157837,0,0
Fairfield County,CT,70.7,29.3,22.7,15.6,3,0,70.6,214757,172238,238723,155457,0,0
Fairfield County,OH,95.4,4.6,0,0,0,0,4.6,28831,40134,24150,43163,1,1
Fairfield County,SC,60.4,39.6,14.4,1.1,0,0,55.1,7743,3996,6936,4024,0,0
Fall River County,SD,53.7,46.3,31.1,5.3,0,0,82.7,1137,2256,821,2511,1,1
Fallon County,MT,51.4,48.6,18.8,9.8,3.5,0,80.7,236,1123,154,1276,1,1
Falls County,TX,53.1,46.9,22.8,12.3,1.1,0,83.1,2033,3356,1682,3438,1,1
Fannin County,GA,69.2,30.8,25.9,23.3,16.9,4.1,101,2027,7853,1920,9622,1,1
Fannin County,TX,50.5,49.5,30.9,13.4,1,0,94.8,2482,8143,2123,9536,1,1
Faribault County,MN,99.8,0.2,0,0,0,0,0.2,3407,4104,2153,4659,1,1
Faulk County,SD,41.2,58.8,27.6,7.3,0.1,0,93.8,331,765,204,858,1,1
Faulkner County,AR,61.6,38.4,21.8,4.6,1.2,0,66,13559,26653,14525,29170,1,1
Fauquier County,VA,67.1,32.9,13.1,1.4,0,0,47.4,13891,20955,12960,22110,1,1
Fayette County,AL,50.8,49.2,28.4,14.8,5.2,0,97.6,1803,6034,1358,6705,1,1
Fayette County,GA,69.7,30.3,17.9,12.9,6,1.6,68.7,19703,38046,23255,35034,1,1
Fayette County,IA,97.2,2.8,0.1,0,0,0,2.9,5709,4484,3666,5591,0,1
Fayette County,IL,81.1,18.9,3.1,0,0,0,22,2848,5950,1814,7363,1,1
Fayette County,IN,94.9,5.1,0,0,0,0,5.1,3553,5044,2252,6839,1,1
Fayette County,KY,91.9,8.1,5.1,3.2,0,0,16.4,62078,60793,69776,56890,0,0
Fayette County,OH,95,5,0,0,0,0,5,4075,6456,2672,7763,1,1
Fayette County,PA,99.9,0.1,0,0,0,0,0.1,21841,25845,17826,34388,1,1
Fayette County,TN,83.4,16.6,7.2,1.9,0,0,25.7,6683,12682,5865,13046,1,1
Fayette County,TX,66.4,33.6,7.1,0,0,0,40.7,2311,8098,2127,8648,1,1
Fayette County,WV,95.3,4.7,0,0,0,0,4.7,5368,8304,4246,10263,1,1
Fentress County,TN,84.1,15.9,6.9,3.4,1.3,0,27.5,1559,5240,1100,6032,1,1
Fergus County,MT,72.9,27.1,18.9,12.3,4.7,2,65,1628,4243,1196,4235,1,1
Ferry County,WA,48.3,51.7,14.3,0,0,0,66,1276,1966,1091,2178,1,1
Fillmore County,MN,95.4,4.6,0.9,0,0,0,5.5,5713,4913,3872,6271,0,1
Fillmore County,NE,72.9,27.1,2.8,0,0,0,29.9,794,1972,610,2100,1,1
Finney County,KS,59.8,40.2,32.3,21.5,3.1,0,97.1,2307,5108,3006,6155,1,1
Fisher County,TX,63,37,21.1,8.1,0,0,66.2,512,1094,403,1265,1,1
Flagler County,FL,81.6,18.4,4.3,0,0,0,22.7,23204,26966,21985,33804,1,1
Flathead County,MT,50.8,49.2,16.5,5.1,0,0,70.8,13534,27694,13233,30079,1,1
Fleming County,KY,91.7,8.3,4.7,3.2,0,0,16.2,1911,3780,1348,4722,1,1
Florence County,SC,66.3,33.7,3.9,0,0,0,37.6,28508,28825,26630,29498,1,1
Florence County,WI,92.6,7.4,0,0,0,0,7.4,952,1643,666,1897,1,1
Floyd County,GA,59.5,40.5,29.8,22.3,12.5,7.9,113,9595,22636,9127,24045,1,1
Floyd County,IA,94.6,5.4,0,0,0,0,5.4,4674,3466,3177,4371,0,1
Floyd County,IN,90.8,9.2,4.5,2,0,0,15.7,14805,19868,13939,21427,1,1
Floyd County,KY,89.7,10.3,5.8,3.1,0.6,0,19.8,4733,9784,4015,11993,1,1
Floyd County,TX,58,42,29.4,21.6,6.5,0,99.5,551,1523,435,1473,1,1
Floyd County,VA,72.1,27.9,6,0,0,0,33.9,2732,4671,2300,5289,1,1
Fluvanna County,VA,66.1,33.9,9.9,0,0,0,43.8,5885,6678,5751,7018,1,1
Foard County,TX,50.9,49.1,35.9,27.7,18.6,2.6,133.9,140,346,113,383,1,1
Fond du Lac County,WI,95,5,0,0,0,0,5,22356,30329,17391,31044,1,1
Ford County,IL,89.2,10.8,0,0,0,0,10.8,1654,4225,1410,4474,1,1
Ford County,KS,49.8,50.2,32.8,18.8,10.5,0.5,112.8,2468,5459,2032,4994,1,1
Forest County,PA,97.4,2.6,0,0,0,0,2.6,894,1381,626,1680,1,1
Forest County,WI,92.5,7.5,0,0,0,0,7.5,2421,2172,1583,2787,0,1
Forrest County,MS,87.2,12.8,5,2.5,1.1,0,21.4,12079,15339,11271,15149,1,1
Forsyth County,GA,61.6,38.4,26.3,21.7,7.9,0.5,94.8,14544,65853,23427,69801,1,1
Forsyth County,NC,64.4,35.6,13.2,0,0,0,48.8,91606,79177,92488,74793,0,0
Fort Bend County,TX,90.8,9.2,0.4,0,0,0,9.6,101043,116028,134475,117212,1,0
Foster County,ND,53.6,46.4,11.7,2.1,0.4,0,60.6,604,1028,346,1237,1,1
Fountain County,IN,88.5,11.5,1.5,0,0,0,13,2233,4660,1476,5661,1,1
Franklin County,AL,64.6,35.4,17.9,10.8,3.8,1.3,69.2,3171,7567,2197,9466,1,1
Franklin County,AR,57.7,42.3,31.2,19.2,5,0,97.7,1725,4631,1376,5034,1,1
Franklin County,FL,67.9,32.1,21.4,4.3,0,0,57.8,1845,3570,1738,4119,1,1
Franklin County,GA,66.9,33.1,22.9,19,10.2,4.4,89.6,1499,6112,1243,7054,1,1
Franklin County,IA,92.9,7.1,0.1,0,0,0,7.2,2256,2818,1490,3153,1,1
Franklin County,ID,54.8,45.2,19.2,3.3,0,0,67.7,325,5195,385,3901,1,1
Franklin County,IL,76.7,23.3,2.1,0,0,0,25.4,7245,10253,4711,13101,1,1
Franklin County,IN,94,6,0,0,0,0,6,2907,7421,1967,8665,1,1
Franklin County,KS,61.1,38.9,22.6,7.3,0.5,0,69.3,3611,6893,2829,7025,1,1
Franklin County,KY,92.7,7.3,4.9,3.2,0,0,15.4,11535,11345,10717,11819,0,1
Franklin County,MA,71.4,28.6,21.7,13.6,2.2,0,66.1,27024,9338,24369,10327,0,0
Franklin County,ME,74.7,25.3,8.7,0.6,0,0,34.6,9292,6305,7001,7900,0,1
Franklin County,MO,63.3,36.7,21.3,7.6,0.8,0,66.4,16294,29271,12339,35420,1,1
Franklin County,MS,65.9,34.1,6.4,1.3,0,0,41.8,1706,2705,1471,2685,1,1
Franklin County,NC,64.8,35.2,4.8,0,0,0,40,13317,14480,12811,16320,1,1
Franklin County,NE,63.6,36.4,0.7,0.1,0,0,37.2,381,1110,250,1345,1,1
Franklin County,NY,64.9,35.1,20.3,2.2,0,0,57.6,9065,5248,6517,7636,0,1
Franklin County,OH,96.7,3.3,0,0,0,0,3.3,325654,207941,335961,192328,0,0
Franklin County,PA,79.7,20.3,1,0,0,0,21.3,18910,43072,17322,49554,1,1
Franklin County,TN,72.6,27.4,17.4,8.8,2.8,0.2,56.6,5594,10252,4372,11526,1,1
Franklin County,TX,56.5,43.5,29.7,12.4,0.8,0,86.4,750,3446,665,3583,1,1
Franklin County,VA,65.1,34.9,5.2,0,0,0,40.1,9082,16685,7254,18560,1,1
Franklin County,VT,65.4,34.6,15.6,2.7,0,0,52.9,12057,7405,9351,8752,0,0
